algorithm,group_type,group,strict_correct,strict_total,strict_rank1_percent,matcher_correct,matcher_total,matcher_rank1_percent,no_face,unusable
tan_triggs_ltp,transform,crop_60,3,28,10.714285714285714,3,28,10.714285714285714,0,0
tan_triggs_ltp,transform,crop_70,4,28,14.285714285714286,4,28,14.285714285714286,0,0
tan_triggs_ltp,transform,crop_90,5,28,17.857142857142858,5,28,17.857142857142858,0,0
tan_triggs_ltp,transform,flip_lr,3,28,10.714285714285714,3,28,10.714285714285714,0,0
tan_triggs_ltp,transform,gaussnoise_12,2,28,7.142857142857143,2,27,7.407407407407407,1,0
tan_triggs_ltp,transform,gaussnoise_4,6,28,21.428571428571427,6,28,21.428571428571427,0,0
tan_triggs_ltp,transform,gaussnoise_8,4,28,14.285714285714286,4,28,14.285714285714286,0,0
tan_triggs_ltp,transform,histeq,5,28,17.857142857142858,5,28,17.857142857142858,0,0
tan_triggs_ltp,transform,jpeg_q30,5,28,17.857142857142858,5,28,17.857142857142858,0,0
tan_triggs_ltp,transform,jpeg_q60,6,28,21.428571428571427,6,28,21.428571428571427,0,0
tan_triggs_ltp,transform,jpeg_q80,7,28,25.0,7,28,25.0,0,0
tan_triggs_ltp,transform,monochrome,7,28,25.0,7,26,26.923076923076923,2,0
tan_triggs_ltp,transform,persp_10,4,28,14.285714285714286,4,28,14.285714285714286,0,0
tan_triggs_ltp,transform,persp_4,5,28,17.857142857142858,5,28,17.857142857142858,0,0
tan_triggs_ltp,transform,persp_6,5,28,17.857142857142858,5,28,17.857142857142858,0,0
tan_triggs_ltp,transform,rgb565,5,28,17.857142857142858,5,28,17.857142857142858,0,0
tan_triggs_ltp,transform,rot_10,4,28,14.285714285714286,4,28,14.285714285714286,0,0
tan_triggs_ltp,transform,rot_180,2,28,7.142857142857143,2,27,7.407407407407407,1,0
tan_triggs_ltp,transform,rot_25,2,28,7.142857142857143,2,27,7.407407407407407,1,0
tan_triggs_ltp,transform,rot_270,2,28,7.142857142857143,2,16,12.5,12,0
tan_triggs_ltp,transform,rot_45,1,28,3.5714285714285716,1,18,5.555555555555555,10,0
tan_triggs_ltp,transform,rot_90,1,28,3.5714285714285716,1,12,8.333333333333334,16,0
tan_triggs_ltp,transform,scale_50,0,28,0.0,0,20,0.0,8,0
tan_triggs_ltp,transform,scale_70,7,28,25.0,7,28,25.0,0,0
tan_triggs_ltp,transform,scale_90,6,28,21.428571428571427,6,28,21.428571428571427,0,0
tan_triggs_ltp,transform,skew_10,7,28,25.0,7,28,25.0,0,0
